,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) kVA L1 (kVA) [AVG] ,57403.0,1.3673591103199403,1.6983784595693159,0.0,0.57,0.9,1.51,25.81,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L1 (kVA) [MAX] ,57403.0,1.6307396448591398,2.136029571745427,0.0,0.63,1.1,1.82,26.43,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L2 (kVA) [MIN] ,57403.0,1.8269589823685413,1.4290841421761973,0.0,1.23,1.47,1.75,25.86,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L2 (kVA) [AVG] ,57403.0,2.0056053004613865,1.6933573108625537,0.0,1.29,1.58,1.93,26.32,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L2 (kVA) [MAX] ,57403.0,2.2625205526224366,2.1300599981797705,0.0,1.35,1.68,2.2,27.12,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L3 (kVA) [MIN] ,57403.0,1.6896107312650792,1.3147628795566118,0.0,1.12,1.44,1.81,24.61,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L3 (kVA) [AVG] ,57403.0,1.8245991191945503,1.5524696278186105,0.0,1.17,1.5,1.93,25.09,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA L3 (kVA) [MAX] ,57403.0,2.045834538453926,1.9582974356045681,0.0,1.25,1.61,2.12,26.01,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA sys (kVA) [MIN] ,57403.0,4.737084579979914,4.004413647786726,0.0,2.99,3.7,4.96,75.46,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA sys (kVA) [AVG] ,57403.0,5.143920302707212,4.803401820914905,0.0,3.12,3.93,5.28,76.88,2789,4.633506113769272
Tour_B_(TGBT_D5) kVA sys (kVA) [MAX] ,57403.0,5.7230992297905,6.029886160233129,0.0,3.29,4.27,5.77,78.67,2789,4.633506113769272
