,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
TOUR_A_(TGBT_D14) Totalizer 3  [ABS] ,0.0,,,,,,,,60192,100.0
TOUR_A_(TGBT_D14) kVA L1 (kVA) [MIN] ,54627.0,1.080843711754844,1.167214262552897,0.0,0.38,0.61,1.26,8.45,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L1 (kVA) [AVG] ,54627.0,1.223629472407617,1.2754587026244197,0.23,0.43,0.7,1.41,9.44,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L1 (kVA) [MAX] ,54627.0,1.4097437583764005,1.4290469404193238,0.28,0.49,0.79,1.69,12.66,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L2 (kVA) [MIN] ,54627.0,1.9248458626910498,0.9035763992370951,0.0,1.42,1.74,1.93,8.5,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L2 (kVA) [AVG] ,54627.0,2.0334233961841894,0.9630586429334023,0.33,1.57,1.8,2.03,8.68,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L2 (kVA) [MAX] ,54627.0,2.198856180098457,1.1069309105054166,0.37,1.69,1.87,2.27,9.8,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L3 (kVA) [MIN] ,54627.0,1.1244075905057727,0.6930510786483864,0.0,0.77,0.88,1.18,6.05,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L3 (kVA) [AVG] ,54627.0,1.2067620679349094,0.7493835388641412,0.4,0.81,0.92,1.29,6.28,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA L3 (kVA) [MAX] ,54627.0,1.3158532569191588,0.8336625215888501,0.41,0.86,0.98,1.44,6.65,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA sys (kVA) [MIN] ,54627.0,4.088955277194823,2.58102883412866,0.0,2.7,3.1,4.17,19.81,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA sys (kVA) [AVG] ,54627.0,4.3587625036843,2.7686147594708,1.22,2.83,3.25,4.51,20.78,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA sys (kVA) [MAX] ,54627.0,4.683101487565949,3.018450948631783,1.28,2.96,3.43,4.95,22.35,5565,9.245414673046252
TOUR_A_(TGBT_D14) kWh (-) (kWh) [ABS] ,54627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) kWh L1 (kWh) [ABS] ,54627.0,22840.906488364704,4118.75147338964,14626.1,19687.55,22751.2,26846.6,29433.4,5565,9.245414673046252
TOUR_A_(TGBT_D14) kWh L2 (kWh) [ABS] ,54627.0,33836.19944509142,7348.947305260687,20062.2,27883.550000000003,33791.2,40332.399999999994,46004.4,5565,9.245414673046252
TOUR_A_(TGBT_D14) kWh L3 (kWh) [ABS] ,54627.0,13551.199894897549,3222.4891896509002,7781.6,10846.95,13433.3,16615.95,19023.5,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L1 (kW) [MIN] ,54627.0,0.8698947859443464,1.1809500503092418,0.0,0.09,0.45,1.1,8.25,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L1 (kW) [AVG] ,54627.0,1.0353641677127308,1.2833212169433525,0.04,0.18,0.57,1.28,9.28,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L1 (kW) [MAX] ,54627.0,1.2538260574381954,1.4289399135392353,0.06,0.29,0.72,1.57,10.72,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L2 (kW) [MIN] ,54627.0,1.7003108691600863,0.8764300300606761,0.0,1.26,1.45,1.67,8.03,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L2 (kW) [AVG] ,54627.0,1.8111706791679298,0.9362296267533652,0.2,1.34,1.53,1.8,8.26,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L2 (kW) [MAX] ,54627.0,1.9852223595174796,1.0863703748561429,0.27,1.44,1.62,2.07,9.67,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L3 (kW) [MIN] ,54627.0,0.7028215397915539,0.7323569375437057,0.0,0.3,0.42,0.79,5.65,5565,9.245414673046252
